epoch,loss,data_loss,phys_loss,val_mse
1,0.03144298808258688,0.03138065978400244,0.0012465661783269569,0.0033567587
2,0.0033250322733247312,0.003310163885627853,0.00029736778570575625,0.0031111545
3,0.00349204342765696,0.0034735990370435097,0.0003688878582865687,0.002107639
4,0.0028314834930035764,0.002817026241190124,0.00028914499044781965,0.0032219288
5,0.002698633863791354,0.002683370096212113,0.0003052753156642096,0.0030231436
6,0.0024013074088234327,0.002388279063663204,0.0002605668876833999,0.0016839849
7,0.002355788426516582,0.0023431874993178298,0.00025201856725788174,0.0031551071
8,0.002300242774210693,0.0022874885391672476,0.00025508470342885145,0.0016325442
9,0.002126293076524365,0.0021136087930424528,0.00025368568753542347,0.0016834852
10,0.0020985005171052494,0.002086404001475947,0.0002419302931829969,0.0024767993
11,0.0020187232059691944,0.00200778574430398,0.00021874927426669384,0.0020912262
12,0.0020022592753475596,0.001991718809943063,0.0002108092742062971,0.0026810442
13,0.001881455048861221,0.0018713874162661094,0.00020135266153423288,0.0019639393
14,0.001897350829350217,0.0018874280293012839,0.00019845600079214384,0.0019277309
15,0.001952199088811688,0.0019418642491807287,0.00020669678429357038,0.0016955887
16,0.0018050128287170459,0.001795153285033213,0.00019719088869029792,0.0017411233
17,0.001908970438808359,0.0018986438321084223,0.00020653216106988415,0.0014676667
18,0.0018045161084983801,0.0017951483389793401,0.0001873554035179671,0.0013832494
19,0.0020680909770968594,0.002056111217485072,0.00023959520396898046,0.0015579361
20,0.0016476827951451077,0.0016391309423284203,0.0001710370190704512,0.0016703772
21,0.0017030865024088237,0.0016944324132618799,0.00017308178809176525,0.0022036473
22,0.001701688214488586,0.0016935348131711188,0.00016306804540087286,0.002030258
23,0.002365616310447608,0.0023547110735112537,0.0002181046542327502,0.0017227904
24,0.0016834289906659224,0.001675369032140734,0.0001611991828021581,0.0016073207
25,0.0016740024220604295,0.0016658333002584381,0.00016338242474665728,0.0015033013
26,0.0016906511613947307,0.0016828725886620624,0.00015557144610022695,0.0014953295
27,0.0016606520388115279,0.0016532301993159649,0.0001484367786028985,0.0015645939
28,0.0016943636331353954,0.0016873936425169885,0.00013939979565223928,0.0015832564
29,0.0017403264705612624,0.001732802469761782,0.0001504799403847677,0.0015039326
30,0.0016080643850622234,0.0016012899893320214,0.00013548791812098915,0.001672144
31,0.0016832802059182249,0.0016759190129798697,0.0001472238599100246,0.0014726561
32,0.0016865186277503347,0.0016794557790001336,0.00014125698667116372,0.001608379
33,0.0016101908911289413,0.0016036940681901433,0.00012993648923367846,0.0017124685
34,0.002018617669419597,0.0020103758109674833,0.00016483718816001744,0.0017370376
35,0.0016247678603157642,0.0016181107879281074,0.00013314145605106565,0.0018137777
36,0.0016141068880935593,0.0016075688102049565,0.00013076153952143904,0.0017767899
37,0.001604498938309319,0.001598265931610457,0.00012466012911704693,0.0015263688
38,0.0015972256811735573,0.0015909655825903939,0.00012520194784437866,0.0014670126
39,0.001584803952530697,0.0015782367578452818,0.00013134386832722254,0.0016810726
40,0.002075389419264018,0.002066905587337328,0.00016967664973960194,0.0019105326
41,0.001603018030933164,0.0015959147292210346,0.0001420660370932985,0.0014074566
42,0.0015734802383107912,0.0015666452702510685,0.00013669934782914675,0.0019845301
43,0.0015734938835677082,0.0015668939536266763,0.00013199860465853866,0.0017604074
44,0.0015885491477351116,0.0015816819077320817,0.00013734478362090844,0.0017246974
45,0.0015655481295537615,0.00155903022844176,0.00013035804904469155,0.0014213882
46,0.0016033097965751052,0.001596820251379144,0.00012979088391356635,0.001335504
47,0.001573942550848884,0.0015676384866899113,0.00012608130752341364,0.0014834615
48,0.0015111413355026007,0.0015053798243872478,0.00011523018080495934,0.001722169
49,0.0015742998814309516,0.001568061662022298,0.00012476439321239296,0.0014046156
50,0.001736732705522936,0.0017297617662934807,0.00013941873854797523,0.0014774434
51,0.0014781978606532799,0.0014724186275836871,0.00011558469059425368,0.001343169
52,0.0015123452622175842,0.0015064736916435562,0.00011743141285144226,0.0014616675
53,0.0015550174565664083,0.0015487584328753206,0.00012518052489649602,0.0014876078
54,0.001537185072433955,0.0015309444623770037,0.00012481219548603244,0.0015862025
55,0.0015451460732376359,0.0015388826243079524,0.00012526898769554286,0.0014846958
56,0.0015031082209976145,0.001497347399495058,0.00011521645084736383,0.001531639
57,0.0015119353203193898,0.0015060933398611278,0.00011683963452334294,0.0014115198
58,0.0015190315533006944,0.001513108616039725,0.00011845871910046205,0.0018566634
59,0.0015093727888392105,0.0015030322583558383,0.00012681059040191037,0.001705408
60,0.0015366146032498508,0.0015304852402945673,0.00012258725872804695,0.0013908143
61,0.0015001283189780932,0.0014945030822384805,0.00011250471921523059,0.0015388179
62,0.0015256731717657867,0.001520320945304741,0.00010704453457353218,0.0014556154
63,0.0015047499983754879,0.0014992149333831124,0.00011070133704098052,0.001545181
64,0.001501765408125857,0.001495846857204417,0.00011837099250346226,0.0013287264
65,0.0015024494918050503,0.0014966836456518358,0.00011531691551578604,0.001330576
66,0.0014941148073081742,0.0014883282310532329,0.00011573150136922159,0.001458246
67,0.0014886652882217675,0.001482625061772385,0.00012080451432029454,0.0014139806
68,0.0014942021826447511,0.0014884803909996315,0.00011443581774098065,0.0014249496
69,0.0016746917870865356,0.001668808421169282,0.00011766735162318375,0.0015537826
70,0.001454527045837269,0.0014492478442928566,0.00010558404051023378,0.0016990893
71,0.0014727488854021297,0.0014674233221839829,0.0001065112922858447,0.0015948934
72,0.0014879847446394915,0.0014826091044639555,0.0001075127695020968,0.0013133689
73,0.0014610661616450426,0.001455872118190424,0.00010388087474876816,0.0014448868
74,0.0014931914985519658,0.0014878452295674985,0.00010692534603065457,0.0014707806
75,0.0014711397340054428,0.0014658967646393592,0.0001048594076537327,0.0013906884
76,0.001465897070758099,0.001460730302501981,0.00010333537050225646,0.0015504323
77,0.001477333001831518,0.0014720135865920194,0.00010638834574530998,0.0014505017
78,0.0014730610787384423,0.0014677101518256745,0.00010701856525519654,0.001404385
79,0.001460699209416491,0.0014553970748523311,0.000106042663845775,0.0014268236
80,0.0014610033326998768,0.001455661041567762,0.00010684581621554849,0.0014664625
81,0.0014647257690377311,0.0014595553857523157,0.0001034076881778989,0.0015674562
82,0.001465032415122885,0.0014602342265138675,9.59637744304918e-05,0.0013193013
83,0.0014440422919293214,0.0014389838252511233,0.00010116937317671297,0.0013841864
84,0.0014520532630468155,0.0014472178725546032,9.670783365787793e-05,0.0013836707
85,0.0014531811180335107,0.00144806313700523,0.0001023596073565239,0.0016900144
86,0.001433093783352073,0.0014281599359873222,9.867694834594786e-05,0.0014474946
87,0.0014613126916660536,0.001456088830385796,0.00010447727359254361,0.0013690667
88,0.001438667996919205,0.0014338465949164927,9.642802144225533e-05,0.0013865281
89,0.0014394983760407458,0.0014345011935731706,9.99436440312014e-05,0.0013479874
90,0.0016752084409626376,0.0016696359077600057,0.00011145058799118182,0.0014340463
91,0.0014213342732138019,0.0014168510002650085,8.966545397212113e-05,0.0014997786
92,0.001424970582743567,0.0014201337852138693,9.673593493306584e-05,0.0013949351
93,0.0014413258229845367,0.0014365014432770854,9.648759652297547e-05,0.0012980081
94,0.001436930142699713,0.0014321454275434023,9.569428178498056e-05,0.0014152969
95,0.0014272754120432244,0.0014225085161827787,9.533791460759807e-05,0.0013823773
96,0.0014227127202142322,0.0014177280323334862,9.969379089966302e-05,0.001510382
97,0.0016552316972195105,0.0016498825047916827,0.00010698392376386914,0.0013508867
98,0.0014206070156111755,0.0014160212488841984,9.171535295914283e-05,0.0013977218
99,0.001412803160317567,0.0014080410168612943,9.524288460873068e-05,0.0013539565
100,0.0014281546780832047,0.0014232594601691967,9.790432500438762e-05,0.0016770732
101,0.0014275730541690017,0.0014225818639898506,9.982378671695627e-05,0.0014598485
102,0.0014106625269367822,0.0014057747143620656,9.775622608089552e-05,0.0013515933
103,0.0014321314010944269,0.0014274050049875398,9.452790784110767e-05,0.0014332257
104,0.0014185585545547325,0.0014139266013407582,9.263906667530405e-05,0.0013823695
105,0.0014079151691735855,0.0014029565147279076,9.917305962657125e-05,0.0013522306
106,0.0014154722826623773,0.0014109285868729876,9.087393038448147e-05,0.0013274831
107,0.0014049355611520803,0.0014002196909540315,9.43174400470352e-05,0.001558124
108,0.0014088789368581246,0.001404108205728257,9.541464385870298e-05,0.0012958552
109,0.0014085249561997606,0.001403660942524855,9.7280267544271e-05,0.0014863644
110,0.0014025041035995115,0.0013977427703995165,9.522666781840325e-05,0.0013790411
111,0.001400328019404253,0.0013957058117218327,9.244414296591664e-05,0.0013494653
112,0.001398463028425214,0.0013939144701585685,9.097116247677111e-05,0.001567446
113,0.001386889709795647,0.001382245843225821,9.287730822828816e-05,0.0013854898
114,0.0014009806083697942,0.0013962602083096949,9.440799970674416e-05,0.0013570072
115,0.0013919690013333218,0.0013872880429533837,9.361915485893542e-05,0.001342224
116,0.0013998660797428391,0.0013950829898909973,9.566179049635078e-05,0.0013929978
117,0.001389237984701468,0.0013846539235670087,9.168126588496032e-05,0.001305374
118,0.0013810069402367857,0.0013764003588918737,9.213162563599801e-05,0.0014636328
119,0.0013876650173290722,0.0013830310196121156,9.267995427971686e-05,0.0017840427
120,0.0013883883310925392,0.0013838506198399479,9.075422972390248e-05,0.0014648807
121,0.0013811944822195988,0.0013767572513896495,8.874461766605962e-05,0.0013483851
122,0.0013622865129692167,0.0013579496334621096,8.673756919992167e-05,0.0013148707
123,0.0013851575037863637,0.0013807664225174863,8.78215878020756e-05,0.0013022164
124,0.0013560801979828599,0.0013519129996797591,8.33439257756574e-05,0.001407372
